283,Obväz penový silikónový Suprasorb P sensitive,"s lepivým okrajom, 15x15 cm, trieda ZP IIb (aktívna plocha 10,5x10,5cm)",A8 Pomôcky na vlhké hojenie  rán,7.58
284,Obväz penový silikónový Suprasorb P sensitive,"s lepivým okrajom lite, 10x20 cm, trieda IIb (aktívna plocha 5x15cm)",A8 Pomôcky na vlhké hojenie  rán,12.94
285,Aquacel Ag foam adhezívne penové krytie na rany so silikónovým okrajom,"so striebrom, 21 x 21 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,14.95
286,Advazorb Border,"10x20 cm, samopriľnavé hydrofilné krytie, 10 individuálnych balení v krabičke",A8 Pomôcky na vlhké hojenie  rán,14.62
287,HydroTac Comfort,15 cm x 20 cm á 10 ks,A8 Pomôcky na vlhké hojenie  rán,13.96
288,Krytie na rany silikónové lepivé Mepilex Border Flex Lite,15 x 15 cm,A8 Pomôcky na vlhké hojenie  rán,6.96
289,Advazorb Border,"15x15 cm, samopriľnavé hydrofilné krytie, 10 individuálnych balení v krabičke",A8 Pomôcky na vlhké hojenie  rán,10.22
290,Krytie penové adhezívne 3M TEGADERM,"ovál 14,3 cm x 15,6 cm; pena 10 cm x 11 cm; bal. 5 ks",A8 Pomôcky na vlhké hojenie  rán,10.12
291,Krytie penové adhezívne 3M TEGADERM,"ovál 19 cm x 22,2 cm; pena 14 cm x 17,1 cm; bal. 5 ks",A8 Pomôcky na vlhké hojenie  rán,10.99
292,HydroTac concave,"Krytie na rany penové hydropolymérové 18,5 x 18 cm, á 10ks.",A8 Pomôcky na vlhké hojenie  rán,13.8
293,"Tielle, polopriepustný","18 cm x 18 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,6.47
294,Krytie na rany penové hydropolymérové HydroTac Comfort,"samolepiace, impregnované gélom; 10x30cm, á10ks",A8 Pomôcky na vlhké hojenie  rán,6.53
295,AQUACEL Ag Foam adhezívne penové krytie so silikónovým okrajom,"so striebrom, 25x30 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,13.3
296,Aquacel  Ag foam adhezívne penové krytie na rany so silikónovým okrajom,"so striebrom, 17.5 x 17.5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,7.16
297,AQUACEL Foam adhezívne penové krytie so silikónovým okrajom,"10x30 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,1.65
298,Advazorb Border,"10x30 cm, samopriľnavé hydrofilné krytie, 10 individuálnych balení v krabičke",A8 Pomôcky na vlhké hojenie  rán,10.71
299,Krytie na rany silikónové Mepilex Border Flex,"13 x 16 cm, oválne",A8 Pomôcky na vlhké hojenie  rán,1.34
300,"AQUACEL Ag Foam adhezívne penové krytie so silikónovým okrajom, heel","so striebrom, 14x19,8 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,7.98
301,Krytie na rany silikónové Mepilex Border Heel,22 x 23 cm tvarované,A8 Pomôcky na vlhké hojenie  rán,9.42
302,Obväz silikónový Mepilex Border Sacrum,16x20 cm,A8 Pomôcky na vlhké hojenie  rán,2.64
303,Krytie na rany penové polyuretánové Suprasorb P-PU sacrum,"18 x 20,5 cm / 5ks, vlhké hojenie",A8 Pomôcky na vlhké hojenie  rán,1.25
304,Krytie na rany silikónové Mepilex Border Flex,"15 x 19 cm, oválne",A8 Pomôcky na vlhké hojenie  rán,11.72
305,Obväz penový silikónový Suprasorb P sensitive,"sakrálny, 17x17,5 cm",A8 Pomôcky na vlhké hojenie  rán,12.96
306,Obväz penový silikónový Suprasorb P sensitive,"sakrálny, 23x23 cm",A8 Pomôcky na vlhké hojenie  rán,5.32
307,Obväz penový silikónový Suprasorb P sensitive,"Heel, 23,5x25 cm",A8 Pomôcky na vlhké hojenie  rán,7.45
308,Obväz penový silikónový Suprasorb P sensitive,"Multisite, 12x15 cm",A8 Pomôcky na vlhké hojenie  rán,2.44
309,"AQUACEL Ag Foam adhezívne penové krytie so silikónovým okrajom, sacral","so striebrom, 16,9x20 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,13.26
310,Obväz silikónový Mepilex Border Sacrum,22x25 cm,A8 Pomôcky na vlhké hojenie  rán,9.47
311,"Krytie na rany silikónové penové 3M Tegaderm, s okrajom","veľké sakrálne 18,5 cm x 22 cm, bal. 5ks",A8 Pomôcky na vlhké hojenie  rán,8.08
